,HG1,HG10,HG4,HG5,HG6,HG7,HG8,HG9,MG1,MG10,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,HR1,HR10,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,MR1,MR10,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9
371/1646,471.1076863,2671.041258,284.3091585,762.6232245,5707.640707,6196.392356,50.52709497,4021.587001,17048.51686,6650.553702,18946.03198,10907.61337,9047.969626,12542.63775,14580.80172,12079.62845,9357.536079,3667.886087,520.8378803,557.8041599,321.0926631,226.8351015,374.3192046,186.2257912,324.1089059,485.9196346,338.3248626,326.0142286,10057.51975,4413.611003,9714.604176,6529.783006,7276.918978,3375.648425,4469.885297,5610.258526,4826.527255,6535.888277
372.7/326,3164.784187,13989.77394,4138.955797,4249.361082,2925.882637,2619.039608,6123.905188,4994.276162,2576.323315,3658.165156,3295.970749,5093.010766,7116.066736,3791.514457,3431.268913,9932.240273,8256.705067,6148.159484,37205.4388,11184.51222,25649.17909,26487.42732,9582.715626,18815.05571,11117.48792,13092.2822,13145.45343,12120.3659,10411.75477,43172.9447,10295.1886,27210.21533,18218.99413,9007.548503,6667.903107,34457.12772,37566.40987,25489.26961
376.4/284,4298.545276,8376.92668,683.9501584,1382.766631,2276.618854,5445.569912,8015.348944,22027.23084,81425.36163,19972.27979,13991.15625,19246.18036,10771.21822,19643.36809,5902.266338,14387.25396,12693.9701,1698.098898,1777.255209,2356.989058,4092.389746,1915.3511,1500.072771,2133.184853,647.0785507,1694.858025,1148.666251,1548.971656,19673.50252,3047.405643,4558.133419,5472.898582,2864.739131,1664.950799,1331.725088,2107.252549,1757.158309,2310.401549
377.9/950,792.8864006,888.5429841,3230.324797,350.5810712,503.408607,630.862901,865.812286,195.0095999,153.307174,980.5391661,554.1427995,542.678771,648.2284873,555.8123401,504.3064404,810.3977326,763.1127643,343.7033622,195.5985076,83634.61604,84735.7579,31966.2381,107338.0951,47210.18459,45911.05838,11214.34983,21001.28512,15155.05416,4566.851101,7576.266514,26290.56585,9480.188452,12902.04947,11000.81833,6417.548872,11302.76651,13073.85453,2888.078804
379.3/1193,8455.08253,31196.89474,3206.137984,23301.84912,30677.65545,39790.88683,37634.81356,6230.586782,651.2391132,1136.459946,647.8130703,2180.340262,503.7470922,2486.4311,794.1197668,1913.768237,2022.585893,354.5160071,2375.060794,2120.635587,2753.667384,1830.770403,1952.445691,1494.126434,2124.310815,1146.165462,967.6049266,1798.33899,422.7307358,161.3419165,441.3990659,435.1944615,932.8786098,554.175944,525.6886466,736.3460353,752.6846947,318.971352
379.9/1035,107181.1951,37508.78778,3925.766844,1060.680335,6844.036078,11396.29117,83194.09976,54213.19642,11979.63558,24500.42819,41819.76093,37128.60279,28032.68937,40522.87268,12887.07796,18864.80932,18653.23277,12597.44524,58.36136421,205744.4124,7085.337986,26176.07892,277237.5699,153645.3487,240220.7138,36396.26325,161129.9948,132209.6708,51932.1545,24284.92699,38099.73392,49079.32525,42244.33878,27143.87588,24817.10246,52945.49105,49772.02413,17246.60352
380.2/1035,119785.7338,109079.1968,3925.766844,1060.680335,6844.036078,11409.93575,85082.72459,70429.86308,10985.44198,24388.72881,40148.51499,37128.60279,28039.17696,42622.73789,12538.81993,18045.71318,17561.80883,12585.4211,58.36136421,209013.6849,6685.140802,26067.77177,410644.514,181944.5017,229302.8538,36396.26325,144282.3559,136319.1154,54629.15213,23512.25082,39875.84008,47796.46168,43347.45138,25234.02663,22901.91541,56026.52911,53846.40569,17130.99745
380.9/1587,2431.600626,4066.658069,172.1831021,1953.506002,2103.837652,2725.952462,2670.304241,1620.261297,1761.189233,896.7304084,3297.490393,3352.553757,5334.858017,944.6863341,784.4900024,405.186372,677.6907368,2880.572752,243.6222403,2255.136871,412.3263263,0,175.3780107,405.7855693,2165.211123,11446.94776,7337.608255,991.7016418,14121.52169,28661.2397,16468.86001,14179.10149,42316.63024,7212.100769,24007.40048,11346.88699,8924.055387,59979.98593
383.3/291,2048.075404,25499.56208,70318.72785,101821.8995,46668.45921,31214.20249,41132.35525,7839.829605,10139.89419,13264.53493,10307.43273,15521.86738,34468.08065,5307.167696,28045.162,22094.6193,20927.18642,3036.106877,13686.23289,117161.3452,25264.32069,62895.18413,120167.6021,93323.76923,2494.643387,11666.86239,5536.415581,6203.415853,6970.931528,26237.74257,9833.479339,10615.79901,12315.41589,27314.44082,7411.783479,19867.27831,23020.60472,21378.60971
383.6/290,6238.095922,20011.63301,126140.4871,158847.3249,77191.17441,50721.47277,37859.62806,15857.7474,12041.452,16653.3231,10928.38885,18976.25283,32459.49158,3757.901696,42161.63451,25666.58153,22301.73984,14886.91641,17301.63416,64907.03462,38525.64187,37258.64327,123374.8403,32552.89683,6102.782462,12763.98086,6883.761318,8388.736625,6103.668837,19547.13999,12472.06294,8406.962023,8784.857554,23401.55933,17364.89563,11416.65258,14862.30511,17177.96428
386.8/241,1657.859558,6715.770075,3983.663194,5172.412724,6619.859053,8187.709689,4880.668436,14155.8338,22443.8404,55899.50522,23178.01429,33823.24974,33516.38478,35848.08891,62071.52601,55251.89676,55986.32656,45069.47376,11290.87605,13079.36847,8720.156292,6019.85451,9595.241496,4249.589502,21101.75335,18345.62862,16588.56409,11550.30107,63166.57004,28544.03614,43493.03838,35027.11118,30523.24785,25808.07259,14219.40866,35571.19112,35028.60572,30301.64569
386.9/1443,168773.5048,150297.5553,6645.922884,4705.16027,31716.35043,70729.88624,0,46668.25884,6410.45366,10434.03248,26544.04468,54381.60323,36889.10121,75991.86494,6917.157307,12142.9473,12266.95751,23629.8843,75.64794232,26653.28897,436.5100639,3877.203837,818.5684217,9823.042346,45395.19584,13814.63745,32765.85682,9615.739301,37233.26365,12193.23682,24979.05828,20140.84864,21420.55286,12191.27541,7282.786345,5272.294965,5113.457207,6253.742969
386.9/1369,31426.48482,96868.28689,1014.346445,3159.689626,15856.72704,40705.24831,33398.22769,15904.51149,3628.302053,5291.703534,18719.37396,65366.44179,34840.69764,89285.91433,5004.424883,21103.57882,20306.358,22980.42776,398.9265018,9533.180869,58.22575806,2376.065802,1100.968442,4245.354682,11943.02789,14161.17725,24769.13294,7568.56681,49914.9772,9951.328034,19739.61377,8350.372455,21331.24005,6773.47067,2963.996393,5206.774387,6082.207437,4989.130537
387.2/241,9606.054993,33915.40587,15537.45919,16391.14955,25463.81424,28272.8189,31140.28797,32595.63339,48301.29014,58314.99068,62332.57792,70272.35803,62472.32271,68866.79562,79865.34914,53895.36469,53425.05525,38643.59846,26080.90544,43566.98677,44895.82799,29346.98845,34801.50978,36475.39312,38141.85576,16862.60339,33324.55825,26272.72919,72287.11652,18974.83134,36010.96602,28860.839,22197.65724,19398.23553,5293.322374,30319.52435,22573.46461,20742.99652
388.8/241,14277.05861,30507.91626,18704.21414,22802.46296,25811.31646,23220.9068,32226.29255,24703.20827,31647.94573,31693.17247,37286.68619,46204.74766,34679.16586,35448.83306,35812.40862,29527.53201,29228.13577,22261.97244,17452.01986,33845.8142,32931.09015,18479.0451,27005.45974,32334.21596,20967.57563,9763.189398,22952.00736,18522.55068,37252.76298,15813.24601,21177.41335,18184.92674,15925.34188,12568.86732,7208.509616,18618.92274,17104.5631,13577.96878
